,발행회차,기준월,만기전상환율,발행일자_y,가중평균발행금리
171,MBS 2004-02,2005-01,0.63,2004-07-28,5
172,MBS 2004-02,2005-02,0.7,2004-07-28,5
173,MBS 2004-02,2005-03,1.11,2004-07-28,5
174,MBS 2004-02,2005-04,1.24,2004-07-28,5
175,MBS 2004-02,2005-05,2.01,2004-07-28,5
176,MBS 2004-02,2005-06,2.56,2004-07-28,5
177,MBS 2004-02,2005-07,1.74,2004-07-28,5
178,MBS 2004-02,2005-08,1.39,2004-07-28,5
179,MBS 2004-02,2005-09,1.19,2004-07-28,5
180,MBS 2004-02,2005-10,1.52,2004-07-28,5
181,MBS 2004-02,2005-11,0.98,2004-07-28,5
182,MBS 2004-02,2005-12,1.38,2004-07-28,5
183,MBS 2004-02,2006-01,1.35,2004-07-28,5
184,MBS 2004-02,2006-02,1.53,2004-07-28,5
185,MBS 2004-02,2006-03,1.93,2004-07-28,5
186,MBS 2004-02,2006-04,1.65,2004-07-28,5
187,MBS 2004-02,2006-05,1.9,2004-07-28,5
188,MBS 2004-02,2006-06,2.2,2004-07-28,5
189,MBS 2004-02,2006-07,1.49,2004-07-28,5
190,MBS 2004-02,2006-08,1.42,2004-07-28,5
191,MBS 2004-02,2006-09,1.48,2004-07-28,5
192,MBS 2004-02,2006-10,1.93,2004-07-28,5
193,MBS 2004-02,2006-11,2.36,2004-07-28,5
194,MBS 2004-02,2006-12,2.12,2004-07-28,5
195,MBS 2004-02,2007-01,1.22,2004-07-28,5
196,MBS 2004-02,2007-02,1.54,2004-07-28,5
197,MBS 2004-02,2007-03,1.37,2004-07-28,5
198,MBS 2004-02,2007-04,1.49,2004-07-28,5
199,MBS 2004-02,2007-05,1.8,2004-07-28,5
200,MBS 2004-02,2007-06,1.71,2004-07-28,5
201,MBS 2004-02,2007-07,1.99,2004-07-28,5
202,MBS 2004-02,2007-08,1.44,2004-07-28,5
203,MBS 2004-02,2007-09,1.09,2004-07-28,5
204,MBS 2004-02,2007-10,1.47,2004-07-28,5
205,MBS 2004-02,2007-11,1.78,2004-07-28,5
206,MBS 2004-02,2007-12,1.55,2004-07-28,5
207,MBS 2004-02,2008-01,1.39,2004-07-28,5
208,MBS 2004-02,2008-02,1.28,2004-07-28,5
209,MBS 2004-02,2008-03,1.58,2004-07-28,5
210,MBS 2004-02,2008-04,2.11,2004-07-28,5
211,MBS 2004-02,2008-05,1.79,2004-07-28,5
212,MBS 2004-02,2008-06,1.92,2004-07-28,5
213,MBS 2004-02,2008-07,1.77,2004-07-28,5
214,MBS 2004-02,2008-08,1.05,2004-07-28,5
215,MBS 2004-02,2008-09,1.16,2004-07-28,5
216,MBS 2004-02,2008-10,1.11,2004-07-28,5
217,MBS 2004-02,2008-11,0.68,2004-07-28,5
218,MBS 2004-02,2008-12,0.6,2004-07-28,5
219,MBS 2004-02,2009-01,0.89,2004-07-28,5
220,MBS 2004-02,2009-02,1.54,2004-07-28,5
221,MBS 2004-02,2009-03,1.14,2004-07-28,5
222,MBS 2004-02,2009-04,1.55,2004-07-28,5
223,MBS 2004-02,2009-05,2.23,2004-07-28,5
224,MBS 2004-02,2009-06,2.3,2004-07-28,5
225,MBS 2004-02,2009-07,2.96,2004-07-28,5
226,MBS 2004-02,2009-08,2.24,2004-07-28,5
227,MBS 2004-02,2009-09,2.05,2004-07-28,5
228,MBS 2004-02,2009-10,1.73,2004-07-28,5
229,MBS 2004-02,2009-11,1.57,2004-07-28,5
230,MBS 2004-02,2009-12,2.25,2004-07-28,5
231,MBS 2004-02,2010-01,1.45,2004-07-28,5
232,MBS 2004-02,2010-02,1.85,2004-07-28,5
233,MBS 2004-02,2010-03,2.38,2004-07-28,5
234,MBS 2004-02,2010-04,2.69,2004-07-28,5
235,MBS 2004-02,2010-05,2.92,2004-07-28,5
236,MBS 2004-02,2010-06,2.44,2004-07-28,5
237,MBS 2004-02,2010-07,3.11,2004-07-28,5
238,MBS 2004-02,2010-08,2.25,2004-07-28,5
239,MBS 2004-02,2010-09,2.07,2004-07-28,5
240,MBS 2004-02,2010-10,3.52,2004-07-28,5
241,MBS 2004-02,2010-11,3.38,2004-07-28,5
242,MBS 2004-02,2010-12,2.85,2004-07-28,5
243,MBS 2004-02,2011-01,3.86,2004-07-28,5
244,MBS 2004-02,2011-02,2.32,2004-07-28,5
245,MBS 2004-02,2011-03,3.29,2004-07-28,5
246,MBS 2004-02,2011-04,3.23,2004-07-28,5
247,MBS 2004-02,2011-05,3.29,2004-07-28,5
248,MBS 2004-02,2011-06,3.17,2004-07-28,5
249,MBS 2004-02,2011-07,3.32,2004-07-28,5
250,MBS 2004-02,2011-08,2.09,2004-07-28,5
251,MBS 2004-02,2011-09,2.22,2004-07-28,5
252,MBS 2004-02,2011-10,2.07,2004-07-28,5
253,MBS 2004-02,2011-11,2.41,2004-07-28,5
254,MBS 2004-02,2011-12,1.44,2004-07-28,5
255,MBS 2004-02,2012-01,2.05,2004-07-28,5
256,MBS 2004-02,2012-02,2.72,2004-07-28,5
257,MBS 2004-02,2012-03,2.86,2004-07-28,5
258,MBS 2004-02,2012-04,2.56,2004-07-28,5
259,MBS 2004-02,2012-05,3.41,2004-07-28,5
260,MBS 2004-02,2012-06,2.22,2004-07-28,5
261,MBS 2004-02,2012-07,2.5,2004-07-28,5
262,MBS 2004-02,2012-08,3.73,2004-07-28,5
263,MBS 2004-02,2012-09,4.67,2004-07-28,5
264,MBS 2004-02,2012-10,4.5,2004-07-28,5
265,MBS 2004-02,2012-11,3.7,2004-07-28,5
266,MBS 2004-02,2012-12,3.4,2004-07-28,5
267,MBS 2004-02,2013-01,4.19,2004-07-28,5
268,MBS 2004-02,2013-02,0.06,2004-07-28,5
269,MBS 2004-02,2013-03,7.89,2004-07-28,5
270,MBS 2004-02,2013-04,5.06,2004-07-28,5
271,MBS 2004-02,2013-05,4.55,2004-07-28,5
272,MBS 2004-02,2013-06,7.64,2004-07-28,5
273,MBS 2004-02,2013-07,4.29,2004-07-28,5
274,MBS 2004-02,2013-08,3.63,2004-07-28,5
275,MBS 2004-02,2013-09,2.25,2004-07-28,5
276,MBS 2004-02,2013-10,2.96,2004-07-28,5
277,MBS 2004-02,2013-11,2.04,2004-07-28,5
278,MBS 2004-02,2013-12,1.77,2004-07-28,5
279,MBS 2004-02,2014-01,2.13,2004-07-28,5
280,MBS 2004-02,2014-02,2.45,2004-07-28,5
281,MBS 2004-02,2014-03,2.01,2004-07-28,5
282,MBS 2004-02,2014-04,4.84,2004-07-28,5
283,MBS 2004-02,2014-05,2.25,2004-07-28,5
284,MBS 2004-02,2014-06,2.09,2004-07-28,5
285,MBS 2004-02,2014-07,3.34,2004-07-28,5
286,MBS 2004-02,2014-08,2.38,2004-07-28,5
287,MBS 2004-02,2014-09,2.53,2004-07-28,5
288,MBS 2004-02,2014-10,2.29,2004-07-28,5
289,MBS 2004-02,2014-11,4.08,2004-07-28,5
290,MBS 2004-02,2014-12,1.83,2004-07-28,5
291,MBS 2004-02,2015-01,3.27,2004-07-28,5
292,MBS 2004-02,2015-02,4.92,2004-07-28,5
293,MBS 2004-02,2015-03,5.72,2004-07-28,5
294,MBS 2004-02,2015-04,7.27,2004-07-28,5
295,MBS 2004-02,2015-05,2.64,2004-07-28,5
296,MBS 2004-02,2015-06,5.65,2004-07-28,5
297,MBS 2004-02,2015-07,4.11,2004-07-28,5
298,MBS 2004-02,2015-08,2.35,2004-07-28,5
299,MBS 2004-02,2015-09,2.55,2004-07-28,5
300,MBS 2004-02,2015-10,1.72,2004-07-28,5
301,MBS 2004-02,2015-11,4.9,2004-07-28,5
302,MBS 2004-02,2015-12,3.54,2004-07-28,5
303,MBS 2004-02,2016-01,2.19,2004-07-28,5
304,MBS 2004-02,2016-02,2.03,2004-07-28,5
305,MBS 2004-02,2016-03,1.77,2004-07-28,5
306,MBS 2004-02,2016-04,0.97,2004-07-28,5
307,MBS 2004-02,2016-05,1.92,2004-07-28,5
308,MBS 2004-02,2016-06,2.86,2004-07-28,5
309,MBS 2004-02,2016-07,2.02,2004-07-28,5
310,MBS 2004-02,2016-08,1.85,2004-07-28,5
311,MBS 2004-02,2016-09,3.66,2004-07-28,5
312,MBS 2004-02,2016-10,5.04,2004-07-28,5
313,MBS 2004-02,2016-11,3.79,2004-07-28,5
314,MBS 2004-02,2016-12,1.89,2004-07-28,5
315,MBS 2004-02,2017-01,2.09,2004-07-28,5
316,MBS 2004-02,2017-02,2.79,2004-07-28,5
317,MBS 2004-02,2017-03,0.25,2004-07-28,5
318,MBS 2004-02,2017-04,0.19,2004-07-28,5
319,MBS 2004-02,2017-05,2.11,2004-07-28,5
320,MBS 2004-02,2017-06,4.01,2004-07-28,5
321,MBS 2004-02,2017-07,4.31,2004-07-28,5
322,MBS 2004-02,2017-08,3.26,2004-07-28,5
323,MBS 2004-02,2017-09,0.04,2004-07-28,5
324,MBS 2004-02,2017-10,2.25,2004-07-28,5
325,MBS 2004-02,2017-11,3.75,2004-07-28,5
326,MBS 2004-02,2017-12,0.87,2004-07-28,5
327,MBS 2004-02,2018-01,3.36,2004-07-28,5
328,MBS 2004-02,2018-02,0.06,2004-07-28,5
329,MBS 2004-02,2018-03,0.99,2004-07-28,5
330,MBS 2004-02,2018-04,0.03,2004-07-28,5
331,MBS 2004-02,2018-05,0.29,2004-07-28,5
332,MBS 2004-02,2018-06,2.68,2004-07-28,5
333,MBS 2004-02,2020-09,0.0,2004-07-28,5
334,MBS 2004-02,2020-10,0.0,2004-07-28,5
335,MBS 2004-02,2020-11,0.0,2004-07-28,5
336,MBS 2004-02,2020-12,0.0,2004-07-28,5
337,MBS 2004-02,2021-01,0.0,2004-07-28,5
338,MBS 2004-02,2021-02,0.0,2004-07-28,5
339,MBS 2004-02,2021-03,0.0,2004-07-28,5
340,MBS 2004-02,2021-04,0.0,2004-07-28,5
341,MBS 2004-02,2021-05,0.0,2004-07-28,5
342,MBS 2004-02,2021-06,0.0,2004-07-28,5
343,MBS 2004-02,2021-07,0.0,2004-07-28,5
344,MBS 2004-02,2021-08,0.0,2004-07-28,5
345,MBS 2004-02,2021-09,0.0,2004-07-28,5
346,MBS 2004-02,2021-10,0.0,2004-07-28,5
347,MBS 2004-02,2021-11,0.0,2004-07-28,5
348,MBS 2004-02,2021-12,0.0,2004-07-28,5
349,MBS 2004-02,2022-01,0.0,2004-07-28,5
350,MBS 2004-02,2022-02,0.0,2004-07-28,5
351,MBS 2004-02,2022-03,0.0,2004-07-28,5
352,MBS 2004-02,2022-04,0.0,2004-07-28,5
353,MBS 2004-02,2022-05,0.0,2004-07-28,5
354,MBS 2004-02,2022-06,0.0,2004-07-28,5
355,MBS 2004-03,2004-08,0.0,2004-08-18,4.5
356,MBS 2004-03,2004-09,0.44,2004-08-18,4.5
357,MBS 2004-03,2004-10,0.56,2004-08-18,4.5
358,MBS 2004-03,2004-11,0.63,2004-08-18,4.5
359,MBS 2004-03,2004-12,0.87,2004-08-18,4.5
360,MBS 2004-03,2005-01,0.77,2004-08-18,4.5
361,MBS 2004-03,2005-02,1.21,2004-08-18,4.5
362,MBS 2004-03,2005-03,1.43,2004-08-18,4.5
363,MBS 2004-03,2005-04,1.32,2004-08-18,4.5
364,MBS 2004-03,2005-05,1.56,2004-08-18,4.5
365,MBS 2004-03,2005-06,2.05,2004-08-18,4.5
366,MBS 2004-03,2005-07,2.17,2004-08-18,4.5
367,MBS 2004-03,2005-08,1.9,2004-08-18,4.5
368,MBS 2004-03,2005-09,1.52,2004-08-18,4.5
369,MBS 2004-03,2005-10,1.95,2004-08-18,4.5
370,MBS 2004-03,2005-11,1.62,2004-08-18,4.5
371,MBS 2004-03,2005-12,2.01,2004-08-18,4.5
372,MBS 2004-03,2006-01,1.42,2004-08-18,4.5
373,MBS 2004-03,2006-02,1.99,2004-08-18,4.5
374,MBS 2004-03,2006-03,1.94,2004-08-18,4.5
375,MBS 2004-03,2006-04,2.33,2004-08-18,4.5
376,MBS 2004-03,2006-05,2.2,2004-08-18,4.5
377,MBS 2004-03,2006-06,2.49,2004-08-18,4.5
378,MBS 2004-03,2006-07,1.91,2004-08-18,4.5
379,MBS 2004-03,2006-08,1.92,2004-08-18,4.5
380,MBS 2004-03,2006-09,2.25,2004-08-18,4.5
381,MBS 2004-03,2006-10,2.91,2004-08-18,4.5
382,MBS 2004-03,2006-11,3.01,2004-08-18,4.5
383,MBS 2004-03,2006-12,2.47,2004-08-18,4.5
384,MBS 2004-03,2007-01,1.97,2004-08-18,4.5
385,MBS 2004-03,2007-02,1.68,2004-08-18,4.5
386,MBS 2004-03,2007-03,1.69,2004-08-18,4.5
387,MBS 2004-03,2007-04,1.5,2004-08-18,4.5
388,MBS 2004-03,2007-05,1.33,2004-08-18,4.5
389,MBS 2004-03,2007-06,1.82,2004-08-18,4.5
390,MBS 2004-03,2007-07,2.42,2004-08-18,4.5
391,MBS 2004-03,2007-08,2.11,2004-08-18,4.5
392,MBS 2004-03,2007-09,1.32,2004-08-18,4.5
393,MBS 2004-03,2007-10,2.45,2004-08-18,4.5
394,MBS 2004-03,2007-11,2.04,2004-08-18,4.5
395,MBS 2004-03,2007-12,1.69,2004-08-18,4.5
396,MBS 2004-03,2008-01,1.51,2004-08-18,4.5
397,MBS 2004-03,2008-02,1.47,2004-08-18,4.5
398,MBS 2004-03,2008-03,1.96,2004-08-18,4.5
399,MBS 2004-03,2008-04,1.62,2004-08-18,4.5
400,MBS 2004-03,2008-05,3.08,2004-08-18,4.5
401,MBS 2004-03,2008-06,2.56,2004-08-18,4.5
402,MBS 2004-03,2008-07,2.32,2004-08-18,4.5
403,MBS 2004-03,2008-08,1.88,2004-08-18,4.5
404,MBS 2004-03,2008-09,1.24,2004-08-18,4.5
405,MBS 2004-03,2008-10,1.02,2004-08-18,4.5
406,MBS 2004-03,2008-11,0.95,2004-08-18,4.5
407,MBS 2004-03,2008-12,0.81,2004-08-18,4.5
408,MBS 2004-03,2009-01,1.0,2004-08-18,4.5
409,MBS 2004-03,2009-02,1.41,2004-08-18,4.5
410,MBS 2004-03,2009-03,1.67,2004-08-18,4.5
411,MBS 2004-03,2009-04,1.81,2004-08-18,4.5
412,MBS 2004-03,2009-05,1.68,2004-08-18,4.5
413,MBS 2004-03,2009-06,2.98,2004-08-18,4.5
414,MBS 2004-03,2009-07,3.57,2004-08-18,4.5
415,MBS 2004-03,2009-08,2.46,2004-08-18,4.5
416,MBS 2004-03,2009-09,2.94,2004-08-18,4.5
417,MBS 2004-03,2009-10,2.14,2004-08-18,4.5
418,MBS 2004-03,2009-11,1.97,2004-08-18,4.5
419,MBS 2004-03,2009-12,1.9,2004-08-18,4.5
420,MBS 2004-03,2010-01,1.84,2004-08-18,4.5
421,MBS 2004-03,2010-02,1.53,2004-08-18,4.5
422,MBS 2004-03,2010-03,2.43,2004-08-18,4.5
423,MBS 2004-03,2010-04,3.28,2004-08-18,4.5
424,MBS 2004-03,2010-05,2.16,2004-08-18,4.5
425,MBS 2004-03,2010-06,2.83,2004-08-18,4.5
426,MBS 2004-03,2010-07,3.6,2004-08-18,4.5
427,MBS 2004-03,2010-08,3.25,2004-08-18,4.5
428,MBS 2004-03,2010-09,2.91,2004-08-18,4.5
429,MBS 2004-03,2010-10,3.7,2004-08-18,4.5
430,MBS 2004-03,2010-11,5.46,2004-08-18,4.5
431,MBS 2004-03,2010-12,4.52,2004-08-18,4.5
432,MBS 2004-03,2011-01,3.4,2004-08-18,4.5
433,MBS 2004-03,2011-02,3.26,2004-08-18,4.5
434,MBS 2004-03,2011-03,3.69,2004-08-18,4.5
435,MBS 2004-03,2011-04,3.35,2004-08-18,4.5
436,MBS 2004-03,2011-05,3.73,2004-08-18,4.5
437,MBS 2004-03,2011-06,3.55,2004-08-18,4.5
438,MBS 2004-03,2011-07,3.34,2004-08-18,4.5
439,MBS 2004-03,2011-08,2.88,2004-08-18,4.5
440,MBS 2004-03,2011-09,4.29,2004-08-18,4.5
441,MBS 2004-03,2011-10,2.83,2004-08-18,4.5
442,MBS 2004-03,2011-11,2.88,2004-08-18,4.5
443,MBS 2004-03,2011-12,3.22,2004-08-18,4.5
444,MBS 2004-03,2012-01,2.12,2004-08-18,4.5
445,MBS 2004-03,2012-02,3.56,2004-08-18,4.5
446,MBS 2004-03,2012-03,2.85,2004-08-18,4.5
447,MBS 2004-03,2012-04,3.57,2004-08-18,4.5
448,MBS 2004-03,2012-05,5.07,2004-08-18,4.5
449,MBS 2004-03,2012-06,4.73,2004-08-18,4.5
450,MBS 2004-03,2012-07,4.15,2004-08-18,4.5
451,MBS 2004-03,2012-08,4.56,2004-08-18,4.5
452,MBS 2004-03,2012-09,4.5,2004-08-18,4.5
453,MBS 2004-03,2012-10,5.21,2004-08-18,4.5
454,MBS 2004-03,2012-11,6.31,2004-08-18,4.5
455,MBS 2004-03,2012-12,5.19,2004-08-18,4.5
456,MBS 2004-03,2013-01,4.94,2004-08-18,4.5
457,MBS 2004-03,2013-02,0.05,2004-08-18,4.5
458,MBS 2004-03,2013-03,4.69,2004-08-18,4.5
459,MBS 2004-03,2013-04,5.74,2004-08-18,4.5
